account_id,Service,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
304016915943,Relational Database Service,"128,989","122,495","118,607","110,432","107,030","104,233","112,239","111,296","126,350","115,847","111,924","119,484"
304016915943,EC2-Other,"25,729","25,165","25,123","25,497","25,511","25,503","26,002","25,785","25,982","26,029","25,635","26,908"
304016915943,EC2-Instances,"13,417","13,750","12,975","13,671","13,374","12,884","14,137","13,715","14,474","14,618","13,952","15,736"
304016915943,S3,"3,834","4,116","4,190","4,149","4,360","4,471","4,652","4,489","4,392","4,360","4,366","4,454"
304016915943,API Gateway,"3,943","3,941","3,923","3,938","3,813","3,820","4,409","4,327","4,707","4,807","4,548","5,149"
304016915943,CloudWatch,"1,285","1,266","1,260","1,265","1,231","1,225","1,395","1,377","1,501","1,527","1,452","1,652"
304016915943,VPC,834,707,701,719,722,707,766,744,770,774,721,834
304016915943,Elastic Load Balancing,777,739,745,762,650,657,739,712,760,758,718,809
304016915943,ElastiCache,315,333,335,346,346,335,346,335,346,337,296,327
304016915943,Elastic MapReduce,29,391,61,,,,,,,,,
304016915943,Key Management Service,1,106,44,1,1,1,1,1,1,1,2,2
304016915943,DynamoDB,1,2,2,2,2,2,2,2,2,2,2,2
304016915943,Secrets Manager,1,1,1,1,1,1,1,1,1,1,1,1
304016915943,Cost Explorer,1,1,1,1,0,1,1,1,2,2,2,2
304016915943,Lambda,1,1,1,1,1,1,1,1,1,1,1,1
304016915943,Route 53,1,0,0,0,0,0,0,0,0,0,0,0
304016915943,Service Catalog,0,0,0,0,0,0,1,0,0,0,0,0
304016915943,SNS,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,CloudWatch Events,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,Athena,,,,,0,0,,,,,,
304016915943,Glue,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,SQS,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,Simple Workflow Service,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,Step Functions,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,CloudShell,,,,,,,,,0,,,
304016915943,Glacier,,,,,,,,0,,,,
304016915943,CloudTrail,0,0,0,0,0,0,0,0,0,0,0,0
304016915943,X-Ray,,,0,,,,,,,,,
304016915943,CloudFormation,,,,,,,0,0,0,0,0,
