account_id,Service,month,spend
901553615594,EC2-Other($),2025-04-01,761.4708
901553615594,EC2-Instances($),2025-04-01,544.6282
901553615594,Elastic Load Balancing($),2025-04-01,262.8488
901553615594,S3($),2025-04-01,88.1067
901553615594,VPC($),2025-04-01,46.1476
901553615594,ElastiCache($),2025-04-01,40.7836
901553615594,Elastic File System($),2025-04-01,23.4302
901553615594,Transfer Family($),2025-04-01,21.6
901553615594,Elastic Container Service for Kubernetes($),2025-04-01,21.6
901553615594,Rekognition($),2025-04-01,9.795
901553615594,CloudWatch($),2025-04-01,7.5934
901553615594,EC2 Container Registry (ECR)($),2025-04-01,4.8983
901553615594,QuickSight($),2025-04-01,1.2
901553615594,DynamoDB($),2025-04-01,0.4786
901553615594,Secrets Manager($),2025-04-01,0.4678
901553615594,Cost Explorer($),2025-04-01,0.45
901553615594,Key Management Service($),2025-04-01,0.071
901553615594,Route 53($),2025-04-01,1.5047
901553615594,Backup($),2025-04-01,0.0614
901553615594,Glue($),2025-04-01,0.0181
901553615594,Service Catalog($),2025-04-01,0.0
901553615594,Relational Database Service($),2025-04-01,0.0035
901553615594,Lambda($),2025-04-01,0.001
901553615594,SNS($),2025-04-01,0.0001
901553615594,CloudWatch Events($),2025-04-01,0.0005
901553615594,SQS($),2025-04-01,0.0
901553615594,Step Functions($),2025-04-01,0.0
901553615594,Simple Workflow Service($),2025-04-01,0.0
901553615594,CloudTrail($),2025-04-01,0.0
901553615594,CloudFormation($),2025-04-01,0.0
901553615594,EC2-Other($),2025-04-02,765.9979
901553615594,EC2-Instances($),2025-04-02,540.0209
901553615594,Elastic Load Balancing($),2025-04-02,297.2984
901553615594,S3($),2025-04-02,89.7956
901553615594,VPC($),2025-04-02,46.1624
901553615594,ElastiCache($),2025-04-02,41.2936
901553615594,Elastic File System($),2025-04-02,23.465
901553615594,Transfer Family($),2025-04-02,21.6
901553615594,Elastic Container Service for Kubernetes($),2025-04-02,21.6
901553615594,Rekognition($),2025-04-02,10.5425
901553615594,CloudWatch($),2025-04-02,7.8694
901553615594,EC2 Container Registry (ECR)($),2025-04-02,4.9002
901553615594,QuickSight($),2025-04-02,1.2
901553615594,DynamoDB($),2025-04-02,0.4786
901553615594,Secrets Manager($),2025-04-02,0.4677
901553615594,Cost Explorer($),2025-04-02,0.45
901553615594,Key Management Service($),2025-04-02,0.0711
901553615594,Route 53($),2025-04-02,0.0047
901553615594,Backup($),2025-04-02,0.0614
901553615594,Glue($),2025-04-02,0.0176
901553615594,Service Catalog($),2025-04-02,0.0105
901553615594,Relational Database Service($),2025-04-02,0.0035
901553615594,Lambda($),2025-04-02,0.0013
901553615594,SNS($),2025-04-02,0.001
901553615594,CloudWatch Events($),2025-04-02,0.0004
901553615594,SQS($),2025-04-02,0.0
901553615594,Step Functions($),2025-04-02,0.0
901553615594,Simple Workflow Service($),2025-04-02,0.0
901553615594,CloudTrail($),2025-04-02,0.0
901553615594,CloudFormation($),2025-04-02,0.0
901553615594,EC2-Other($),2025-04-03,763.1571
901553615594,EC2-Instances($),2025-04-03,516.5323
901553615594,Elastic Load Balancing($),2025-04-03,283.1304
901553615594,S3($),2025-04-03,89.9723
901553615594,VPC($),2025-04-03,46.8138
901553615594,ElastiCache($),2025-04-03,40.3756
901553615594,Elastic File System($),2025-04-03,23.578
901553615594,Transfer Family($),2025-04-03,21.6
901553615594,Elastic Container Service for Kubernetes($),2025-04-03,17.973
901553615594,Rekognition($),2025-04-03,9.7775
901553615594,CloudWatch($),2025-04-03,8.687
901553615594,EC2 Container Registry (ECR)($),2025-04-03,4.9058
901553615594,QuickSight($),2025-04-03,1.2
901553615594,DynamoDB($),2025-04-03,0.4786
901553615594,Secrets Manager($),2025-04-03,0.4682
901553615594,Cost Explorer($),2025-04-03,0.17
901553615594,Key Management Service($),2025-04-03,0.0707
901553615594,Route 53($),2025-04-03,0.0023
901553615594,Backup($),2025-04-03,0.0614
901553615594,Glue($),2025-04-03,0.021
901553615594,Service Catalog($),2025-04-03,0.0224
901553615594,Relational Database Service($),2025-04-03,0.0035
901553615594,Lambda($),2025-04-03,0.0014
901553615594,SNS($),2025-04-03,0.0013
901553615594,CloudWatch Events($),2025-04-03,0.0009
901553615594,SQS($),2025-04-03,0.0
901553615594,Step Functions($),2025-04-03,0.0
901553615594,Simple Workflow Service($),2025-04-03,0.0
901553615594,CloudTrail($),2025-04-03,0.0
901553615594,CloudFormation($),2025-04-03,0.0
901553615594,EC2-Other($),2025-04-04,759.2518
901553615594,EC2-Instances($),2025-04-04,508.7176
901553615594,Elastic Load Balancing($),2025-04-04,282.0467
